Stok Kodu;Stok Adı;Grubu;Birimi;MUTLULUK KAHVELERİ;ÇINARLI;AYAKÜSTÜ
st0000218;OLIOVILLA SIZMA Z.YAĞI LT;Hammadde;LİTRE;0,00;0,00;0,00
st0000222;LİMON SUYU;Hammadde;LİTRE;0,00;0,00;0,00
st0000223;VERDE SIZMA Z.YAĞI 5 KG;Hammadde;LİTRE;0,00;0,00;0,00
st0000224;YOĞURT HOMOJEN 9 KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000226;KRİSTAL Z.YAĞI RİVİERA 18 LT;Hammadde;LİTRE;0,00;0,00;0,00
st0000227;NO 2 TURŞU;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000208;ORET KOKTEYL SOSİS KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000234;EZİNE BEYAZ PEYNİR KG VAKUM;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000280;NESTLE KAKAO 4X1KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000281;BURGER BÜFE 90 GR;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000282;UNICOMIX PURE 1150 GR LİMON;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000283;UNICOMIX PURE 1150 GR FRAMBUAZ;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000284;NESTLE PROFESSIONAL PRALIN 10KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000285;AYÇEKİRDEĞİ İÇİ;Hammadde;LİTRE;0,00;0,00;0,00
st0000286;EXTRA SÜTLÜ PARÇA ÇİKOLATA;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000287;ESMER ŞEKER 1 KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000288;FINDIK FİLE 1 KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000289;NESTLE BİTTER KUVERTÜR 2,5KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000290;NESTLE 1927 SÜTLÜ KUVERTÜR 2,5KG;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000300;UNICOMİX PÜRE 1150 GR KARADUT;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000301;MANTAR;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000302;MAYDONOZ;Hammadde;ADET;0,00;0,00;0,00
st0000303;HAVUÇ;Hammadde;KİLOGRAM;0,00;0,00;0,00
st0000305;KEREVİZ;Hammadde;KİLOGRAM;0,00;0,00;0,00
