Stok Kodu;Stok Adı;Grubu;Birimi
st0000473;İNCE BULGUR;Hammadde;KİLOGRAM
ST00157;TEST;Hammadde;ADET
ST00182;KÜP KESİM SALATALIK TURŞUSU;Hammadde;KİLOGRAM
ST00183;SANDWİÇ SOSU;Hammadde;KİLOGRAM
ST00184;LOR PEYNİRİ;Hammadde;KİLOGRAM
ST00185;SALATA SOSU;Hammadde;KİLOGRAM
ST00186;DANA SOSİS;Hammadde;KİLOGRAM
st0000380;TAVUK PİRZOLA;Hammadde;KİLOGRAM
st0000381;TAVUK BONFİLE;Hammadde;KİLOGRAM
st0000382;YUMURTA 30 LU;Hammadde;ADET
st0000383;TAVUK BAGET;Hammadde;KİLOGRAM
st0000384;BÜTÜN PİLİÇ;Hammadde;KİLOGRAM
st0000385;TAVUK BUT;Hammadde;KİLOGRAM
st0000429;ROLL EKMEĞİ SADE 40 GR;Hammadde;ADET
st0000430;ROLL EKMEĞİ KEPEKLİ 40 GR;Hammadde;ADET
st0000431;SANDVİÇ EKMEĞİ BÜFE TİP 6*65 GR;Hammadde;PAKET
st0000432;HAMBURGER EKMEĞİ BÜFE TİP 6*85 GR;Hammadde;PAKET
st0000433;TOST EKMEĞİ 1000 GR;Hammadde;ADET
st0000437;KAYMAKSIZ YOĞURT KOVA KG;Hammadde;KİLOGRAM
st0000438;SÜTAŞ TOST PEYNİRİ DİLİMLİ KG;Hammadde;ADET
st0000439;SÜT YARIM YAĞLI 1 LT;Hammadde;LİTRE
st0000440;KAYMAKSIZ YOĞURT 200 GR;Hammadde;KİLOGRAM
st0000442;SÜZME YOĞURT;Hammadde;KİLOGRAM
st0000443;BURGER PEYNİRİ 1000 G;Hammadde;KİLOGRAM
st0000446;BAMYA;Hammadde;KİLOGRAM
st0000448;GEDİK PL. KOKT. SOSİS 1KG*8;Hammadde;KİLOGRAM
st0000450;KARPUZ;Hammadde;KİLOGRAM
st0000451;SILVER 9*9 PATATES 12*5;Hammadde;KİLOGRAM
st0000452;GDK UZUN SOSİS 1000 GR;Hammadde;KİLOGRAM
st0000453;DOLMALIK BİBER;Hammadde;KİLOGRAM
st0000454;KÖFTE;Hammadde;KİLOGRAM
st0000455;ANANAS;Hammadde;ADET
st0000188;MISIR UNU 1 KG;Hammadde;KİLOGRAM
st0000189;NAR EKŞİLİ SOS;Hammadde;LİTRE
st0000190;SALATALIK TURŞUSU;Hammadde;KİLOGRAM
st0000191;TEKSEN SİYAH ZEYTİN EZMESİ 5 KG;Hammadde;KİLOGRAM
st0000192;TAM YAĞLI SÜT 1 LT;Hammadde;LİTRE
st0000210;KÜHNE TÜRK TİPİ 720 MLT SALATALIK;Hammadde;ADET
st0000214;ACIBİBER SOSU;Hammadde;KİLOGRAM
st0000215;FO TOPING FRAMBUAZ;Hammadde;KİLOGRAM
